polo,lat,lon,cursos
MADALENA,-4.85,-39.67,GEOGRAFIA; MATEMATICA
MAURITI,-7.39,-38.77,ENSINO DE MATEMÁTICA; MATEMATICA; PEDAGOGIA
MORADA NOVA,-5.1,-38.37,MATEMATICA; PEDAGOGIA
PACOTI,-4.22,-38.92,ALFABETIZAÇÃO E MULTILETRAMENTOS; CONTABILIDADE PÚBLICA; GESTÃO ESCOLAR - PNAP; MATEMATICA; TURISMO COM HABILITAÇÃO EM BASE COMUNITÁRIA
PARAMBU,-6.21,-40.69,ALFABETIZAÇÃO E MULTILETRAMENTOS; CIÊNCIA É 10! - PROJETO NACIONAL; CONTROLADORIA PÚBLICA; MATEMATICA
TIANGUA,-3.73,-40.99,LETRAS/PORTUGUES; MATEMATICA
CAMOCIM,-2.9,-40.84,"CIENCIAS BIOLOGICAS; CULTURA OCEÂNICA E SUSTENTABILIDADE; GOVERNANÇA GLOBAL, DESENVOLVIMENTO SUSTENTÁVEL E COMUNIDADES TRADICIONAIS; QUÍMICA; TECNÓLOGO EM TURISMO COMUNITÁRIO"
QUIXERAMOBIM,-5.19,-39.29,CIENCIAS BIOLOGICAS; COMPUTACAO; EDUCACAO FISICA; GESTÃO EM SAÚDE
RUSSAS,-4.94,-38.13,ADMINISTRAÇÃO PÚBLICA; CIENCIAS BIOLOGICAS; CIÊNCIAS CONTÁBEIS; EDUCAÇÃO E DIVERSIDADES; EDUCAÇÃO FÍSICA E ESPORTE PARA PESSOAS COM DEFICIÊNCIA; GESTÃO DA ESCOLA PÚBLICA DE ENSINO MÉDIO – GEPEM; GESTÃO EM SAÚDE; GESTÃO PÚBLICA - PNAP
SOBRAL,-3.68,-40.34,CIENCIAS BIOLOGICAS; GESTÃO DA ESCOLA PÚBLICA DE ENSINO MÉDIO – GEPEM
CASCAVEL,-4.13,-38.24,HISTORIA; LETRAS/LITERATURA; PEDAGOGIA
ICÓ,-6.4,-38.86,GEOGRAFIA; PEDAGOGIA
PEDRA BRANCA,-5.45,-39.71,CIÊNCIA É 10! - PROJETO NACIONAL; CONTROLADORIA PÚBLICA; GESTÃO ESCOLAR - PNAP; PEDAGOGIA
HORIZONTE,-4.09,-38.49,CONTROLADORIA PÚBLICA; GEOGRAFIA; HISTORIA
IGUATU,-6.36,-39.29,ADMINISTRAÇÃO PÚBLICA; CIÊNCIAS CONTÁBEIS; COMPUTAÇÃO; EDUCAÇÃO FÍSICA E ESPORTE PARA PESSOAS COM DEFICIÊNCIA; GEOGRAFIA; HISTORIA; LETRAS/LITERATURA; TRADUÇÃO AUDIOVISUAL ACESSÍVEL/ LEGENDAGEM P/SURDOS E ENSURDECIDOS
AQUIRAZ,-3.9,-38.39,"ALFABETIZAÇÃO E MULTILETRAMENTOS; COMPUTACAO; CULTURA OCEÂNICA E SUSTENTABILIDADE; GOVERNANÇA GLOBAL, DESENVOLVIMENTO SUSTENTÁVEL E COMUNIDADES TRADICIONAIS; TECNÓLOGO EM TURISMO COMUNITÁRIO"
JAGUARIBE,-5.89,-38.62,ADMINISTRAÇÃO PÚBLICA; ARTES VISUAIS; AUDITORIA E CONTROLE INTERNO; CIÊNCIAS BIOLÓGICAS; CIÊNCIAS CONTÁBEIS; COMPUTACAO; LETRAS/PORTUGUES; TRADUÇÃO AUDIOVISUAL ACESSÍVEL/ LEGENDAGEM P/SURDOS E ENSURDECIDOS
LIMOEIRO DO NORTE,-5.14,-38.09,ADMINISTRAÇÃO PÚBLICA; CIÊNCIAS CONTÁBEIS; COMPUTACAO; ENSINO DE MATEMÁTICA; TURISMO COM HABILITAÇÃO EM BASE COMUNITÁRIA
QUIXADÁ,-4.97,-39.01,ARTES VISUAIS; EDUCACAO FISICA; EDUCAÇÃO FÍSICA; GESTÃO PÚBLICA - PNAP
SANTA QUITÉRIA,-4.33,-40.15,EDUCACAO FISICA; GEOGRAFIA
UBAJARA,-3.85,-40.92,EDUCACAO FISICA
MARANGUAPE,-3.89,-38.68,ADMINISTRAÇÃO PÚBLICA; CIÊNCIAS BIOLÓGICAS; CONTABILIDADE PÚBLICA; EDUCAÇÃO FÍSICA; EDUCAÇÃO FÍSICA E ESPORTE PARA PESSOAS COM DEFICIÊNCIA; GESTÃO ESCOLAR - PNAP; HISTORIA
ORÓS,-6.24,-38.91,COMPUTAÇÃO; CONTABILIDADE PÚBLICA; ENSINO DE MATEMÁTICA; HISTORIA; QUÍMICA
TAUÁ,-5.97,-40.29,ADMINISTRAÇÃO PÚBLICA; CIÊNCIAS CONTÁBEIS; LETRAS/PORTUGUES
BATURITÉ,-4.33,-38.88,ALFABETIZAÇÃO E MULTILETRAMENTOS
BEBERIBE,-4.18,-38.13,"ALFABETIZAÇÃO E MULTILETRAMENTOS; CIÊNCIAS BIOLÓGICAS; CIÊNCIAS CONTÁBEIS; COMPUTAÇÃO; CULTURA OCEÂNICA E SUSTENTABILIDADE; EDUCAÇÃO FÍSICA; GOVERNANÇA GLOBAL, DESENVOLVIMENTO SUSTENTÁVEL E COMUNIDADES TRADICIONAIS; HISTÓRIA; PEDAGOGIA; QUÍMICA; TECNÓLOGO EM TURISMO COMUNITÁRIO; TRADUÇÃO AUDIOVISUAL ACESSÍVEL/ LEGENDAGEM P/SURDOS E ENSURDECIDOS"
ARACATI,-4.56,-37.77,"AUDITORIA E CONTROLE INTERNO; GOVERNANÇA GLOBAL, DESENVOLVIMENTO SUSTENTÁVEL E COMUNIDADES TRADICIONAIS; TECNÓLOGO EM TURISMO COMUNITÁRIO"
CRATEÚS,-5.17,-40.67,AUDITORIA E CONTROLE INTERNO; GESTÃO ESCOLAR - PNAP
MOMBAÇA,-5.74,-39.62,AUDITORIA E CONTROLE INTERNO; GESTÃO PÚBLICA - PNAP
TRAIRI,-3.27,-39.26,AUDITORIA E CONTROLE INTERNO
FORTALEZA,-3.72,-38.52,"ADMINISTRAÇÃO PÚBLICA; ARTES VISUAIS; CIÊNCIA É 10! - PROJETO NACIONAL; CIÊNCIAS BIOLÓGICAS; CULTURA OCEÂNICA E SUSTENTABILIDADE; EDUCAÇÃO FÍSICA; EDUCAÇÃO FÍSICA E ESPORTE PARA PESSOAS COM DEFICIÊNCIA; GESTÃO DA ESCOLA PÚBLICA DE ENSINO MÉDIO – GEPEM; GESTÃO PÚBLICA MUNICIPAL; GOVERNANÇA GLOBAL, DESENVOLVIMENTO SUSTENTÁVEL E COMUNIDADES TRADICIONAIS"
PIQUET CARNEIRO,-5.31,-39.4,CIÊNCIA É 10! - PROJETO NACIONAL; CONTABILIDADE PÚBLICA
JUAZEIRO DO NORTE,-7.21,-39.31,CONTABILIDADE PÚBLICA; GESTÃO DA ESCOLA PÚBLICA DE ENSINO MÉDIO – GEPEM; GESTÃO PÚBLICA MUNICIPAL
MARACANAÚ,-3.87,-38.62,ADMINISTRAÇÃO PÚBLICA; ARTES VISUAIS; CONTROLADORIA PÚBLICA; EDUCAÇÃO E DIVERSIDADES; PEDAGOGIA
MERUOCA,-3.54,-40.45,CONTROLADORIA PÚBLICA; TURISMO COM HABILITAÇÃO EM BASE COMUNITÁRIA
AMONTADA,-3.36,-39.83,"CULTURA OCEÂNICA E SUSTENTABILIDADE; EDUCAÇÃO E DIVERSIDADES; GEOGRAFIA; GOVERNANÇA GLOBAL, DESENVOLVIMENTO SUSTENTÁVEL E COMUNIDADES TRADICIONAIS; TECNÓLOGO EM TURISMO COMUNITÁRIO"
ITAPIPOCA,-3.49,-39.58,"ADMINISTRAÇÃO PÚBLICA; CIÊNCIAS CONTÁBEIS; CULTURA OCEÂNICA E SUSTENTABILIDADE; GESTÃO DA ESCOLA PÚBLICA DE ENSINO MÉDIO – GEPEM; GESTÃO EM SAÚDE; GESTÃO ESCOLAR - PNAP; GESTÃO PÚBLICA - PNAP; GOVERNANÇA GLOBAL, DESENVOLVIMENTO SUSTENTÁVEL E COMUNIDADES TRADICIONAIS"
ITAREMA,-2.92,-39.91,"CULTURA OCEÂNICA E SUSTENTABILIDADE; GOVERNANÇA GLOBAL, DESENVOLVIMENTO SUSTENTÁVEL E COMUNIDADES TRADICIONAIS; HISTÓRIA"
SÃO GONÇALO DO AMARANTE,-3.6,-38.96,CULTURA OCEÂNICA E SUSTENTABILIDADE; GEOGRAFIA; GESTÃO PÚBLICA MUNICIPAL; HISTÓRIA
CANINDÉ,-4.35,-39.31,EDUCAÇÃO E DIVERSIDADES; EDUCAÇÃO FÍSICA E ESPORTE PARA PESSOAS COM DEFICIÊNCIA; HISTÓRIA; QUÍMICA; TRADUÇÃO AUDIOVISUAL ACESSÍVEL/ LEGENDAGEM P/SURDOS E ENSURDECIDOS
BOA VIAGEM,-5.12,-39.73,ENSINO DE MATEMÁTICA; GESTÃO PÚBLICA MUNICIPAL
CAMPOS SALES,-7.07,-40.37,ENSINO DE MATEMÁTICA
LAVRAS DA MANGABEIRA,-6.75,-38.96,GESTÃO EM SAÚDE
TABULEIRO DO NORTE,-5.25,-38.12,GESTÃO ESCOLAR - PNAP; GESTÃO PÚBLICA - PNAP
GRANJA,-3.12,-40.82,GESTÃO PÚBLICA MUNICIPAL
NOVA RUSSAS,-4.7,-40.56,LETRAS/LITERATURA
PIRES FERREIRA,-4.25,-40.63,LETRAS/LITERATURA
ARACOIABA,-4.37,-38.81,EDUCAÇÃO FÍSICA; HISTÓRIA; TRADUÇÃO AUDIOVISUAL ACESSÍVEL/ LEGENDAGEM P/SURDOS E ENSURDECIDOS
ASSARÉ,-6.87,-39.87,TURISMO COM HABILITAÇÃO EM BASE COMUNITÁRIA
CAUCAIA - NOVO PABUSSU,-3.7296388,-38.6666252,"CIÊNCIAS BIOLÓGICAS, COMPUTAÇÃO, EDUCAÇÃO E DIVERSIDADES, GOVERNANÇA GLOBAL, DESENVOLVIMENTO SUSTENTÁVEL E COMUNIDADES TRADICIONAIS, QUÍMICA"
CAUCAIA - ARATURI,-3.7684372,-38.6383563,"ALFABETIZAÇÃO E MULTILETRAMENTOS, CIÊNCIAS BIOLÓGICAS, EDUCAÇÃO FÍSICA, HISTÓRIA, PEDAGOGIA"
CAUCAIA - ITAMBÉ,-3.7319255,-38.6524174,"ADMINISTRAÇÃO PÚBLICA, CIÊNCIAS CONTÁBEIS, COMPUTAÇÃO, GESTÃO PÚBLICA MUNICIPAL, LETRAS/PORTUGUES"
